Config,Precision,Recall,F1-Score,FPR,FNR,False_Alarms
Static (>15%),0.3577981651376147,0.25161290322580643,0.29545454545454547,0.010723039215686275,0.7483870967741936,70
EMA Only,0.02143314139475368,0.432258064516129,0.040841206949100886,0.46859681372549017,0.567741935483871,3059
EMA + 1.5*Std,0.0327455919395466,0.08387096774193549,0.04710144927536232,0.058823529411764705,0.9161290322580645,384
"Proposed Full Alert (k=1.5, Latency>48ms)",0.04887218045112782,0.08387096774193549,0.06175771971496436,0.03875612745098039,0.9161290322580645,253
