epoch,train_loss,val_loss,time_sec
1,0.00044707574368577015,0.0003879194356937552,38.624738693237305
2,0.00035368846304058987,0.0004523495278452439,36.7878315448761
3,0.0003320448252776346,0.0003103845509575279,36.34014344215393
4,0.00031382692471848897,0.00037630857286630447,35.32961177825928
5,0.0003037147244557815,0.00029506614504614287,34.424089670181274
6,0.0002991076130750471,0.0003073824618164099,38.83001708984375
7,0.00029084143696558233,0.0002973314087345735,36.043222427368164
8,0.0002867800271811006,0.0007820443014631172,35.83908009529114
9,0.00029079750703840375,0.0002841661876780038,36.713314056396484
10,0.0002799840266622504,0.0003142548314162252,34.22361183166504
11,0.00027092800107913524,0.00029918082355341873,34.516215562820435
12,0.00026573898394980023,0.0002619309744278118,36.68145513534546
13,0.00026538608951206014,0.00025407525646568304,38.29045033454895
14,0.00026468549749753114,0.0002489928255446829,37.31999158859253
15,0.000255420479955502,0.0002642696007585312,37.309011459350586
16,0.0002566123301905203,0.00025547717103304097,35.320520639419556
17,0.00024944410157459073,0.0002466880230581334,35.19541096687317
18,0.0002465384664696473,0.0002465934096247947,36.35352540016174
19,0.0002445094257830565,0.00028333250109361367,38.28692865371704
20,0.0002447229665476954,0.0002588463100323922,37.810925245285034
21,0.0002456948419256113,0.00023973853967827389,35.25633764266968
22,0.0002411103713518466,0.00027794677358114695,37.41902303695679
23,0.0002447170483473376,0.00024262872873210867,37.06180238723755
24,0.00024165933545470015,0.00026393585960575835,34.58703327178955
25,0.000238883026871228,0.00024572750704114003,36.85566711425781
26,0.00023884615941018774,0.00023889285264887277,38.9854097366333
27,0.00023863318642740287,0.0002370340758531227,34.503063917160034
28,0.00023859077720175402,0.00025322784250166416,37.855849742889404
29,0.00023565191626254663,0.0002683909732253205,37.11443257331848
30,0.00023700660752710916,0.00024034077408862357,34.03956699371338
31,0.00023349807699218146,0.00023455429286163587,34.929359436035156
32,0.00023582114303060295,0.0002494908189231915,37.8988618850708
33,0.0002331881826091754,0.00023514632984885167,38.17135000228882
34,0.00023946346669569,0.00025384004329253776,38.6595356464386
35,0.00023136662813367617,0.0002592786557158419,37.66171360015869
36,0.0002293603927605912,0.00026901681342771615,37.07813811302185
37,0.00023220475347444529,0.0002668196750390394,35.9907021522522
38,0.0002290119625158093,0.00024811197130703336,37.308608055114746
39,0.00022798087402013981,0.000264889413184577,37.943856954574585
40,0.0002288555370013506,0.0002549397657585058,34.73723101615906
41,0.00022699499621927223,0.0002761467825005359,37.00850248336792
42,0.00022710941846104294,0.00024294600126751025,36.948776960372925
43,0.00022725121869337467,0.0002566224276125542,37.110999584198
44,0.00023007418266018047,0.0002437948883438734,34.14572477340698
45,0.0002286369717356811,0.0004639401190200458,37.63473415374756
46,0.00023708941208657345,0.0002689065542688528,38.45783567428589
47,0.00023038430993844655,0.00025492262106930366,38.579265117645264
48,0.0002281022553663367,0.00024728364175988454,36.248379945755005
49,0.0002307669048432234,0.00028230245642195395,37.08088994026184
50,0.00022496852204084225,0.00027834504889512237,35.38354468345642
51,0.00022318015556882525,0.0002761050203455772,51.601566314697266
52,0.00022452777718459064,0.0002583864581496157,39.37342119216919
53,0.00022355299054337802,0.0002858112044239027,44.82957744598389
54,0.000223899096894805,0.00027836340621976725,35.34551429748535
55,0.0002242526212824713,0.0002708096885955701,42.72238206863403
56,0.0002209248501392165,0.0002720984052998109,53.685510873794556
57,0.00022202786013648745,0.0003028516329768619,44.49667000770569
58,0.00022838929737452893,0.00026321702828809024,41.793964862823486
59,0.00022348661815189662,0.0002596152079071043,42.09488654136658
60,0.00022326510267691352,0.0002701057776001153,41.3928427696228
61,0.00022378413929176346,0.00026493017131146715,43.09566378593445
62,0.0002227629566495829,0.0002814302549289554,47.89755415916443
63,0.00021909814114195192,0.00026479715801371457,46.926984786987305
64,0.0002197923490410508,0.00029121066551052784,43.85573625564575
65,0.0002198179250274346,0.0002858838715072486,43.3977484703064
66,0.00022028008901741808,0.0002958896385209281,41.48950529098511
67,0.0002170549788266397,0.00029638508081942296,42.79722881317139
68,0.0002159879039321534,0.00035373900947898015,42.758633613586426
69,0.00021945810143686361,0.0002919183776115299,44.23864674568176
70,0.00021607496746513957,0.00030693410084362146,43.657089948654175
71,0.00022093188253738153,0.00026867364173533624,39.41066861152649
