batch,mae
0,0.004817578010261059
1,0.018095390871167183
2,0.02628588303923607
3,0.029496707022190094
4,0.009310528635978699
5,0.00734701007604599
6,0.00351147074252367
7,0.004451208747923374
8,0.00553878303617239
9,0.00725907739251852
10,0.017005344852805138
11,0.0044937473721802235
12,0.006094086915254593
13,0.003770744428038597
14,0.004363491199910641
15,0.0046156179159879684
16,0.0065490854904055595
17,0.007364247925579548
18,0.003699585795402527
19,0.007900155149400234
20,0.008151225745677948
21,0.027047857642173767
22,0.005600016564130783
23,0.004866880364716053
24,0.008574144914746284
25,0.004535152111202478
26,0.0029373522847890854
27,0.005072448402643204
28,0.0034409279469400644
29,0.011276953853666782
30,0.0050933947786688805
31,0.003766154870390892
32,0.007572941482067108
33,0.0031970986165106297
34,0.005010571330785751
35,0.004827981814742088
36,0.004197007976472378
37,0.03021642565727234
38,0.0041254605166614056
39,0.0060317497700452805
40,0.03552777320146561
41,0.0037474038545042276
42,0.005110735073685646
43,0.005208623595535755
44,0.0041047353297472
45,0.0037429402582347393
46,0.004475611262023449
47,0.006141733843833208
48,0.029757101088762283
49,0.003491760231554508
50,0.007883559912443161
51,0.004136078525334597
52,0.004585102200508118
53,0.004946415312588215
54,0.006987072993069887
55,0.004036530386656523
56,0.008959254249930382
57,0.012764404527842999
58,0.008588436059653759
59,0.0038970308378338814
60,0.0034859715960919857
61,0.0036139492876827717
62,0.018512077629566193
63,0.011806376278400421
64,0.0052356054075062275
65,0.013269209302961826
66,0.00273216818459332
67,0.0036300390493124723
68,0.008444935083389282
69,0.00397124420851469
70,0.0060066236183047295
71,0.003438774263486266
72,0.004982223268598318
73,0.005693512503057718
74,0.0038201657589524984
75,0.009774072095751762
76,0.004185608122497797
77,0.018237262964248657
78,0.007232670672237873
79,0.003793732961639762
80,0.006756930612027645
81,0.0031919144093990326
82,0.005446983501315117
83,0.005726714618504047
84,0.0064050424844026566
85,0.006476812995970249
86,0.020010611042380333
87,0.007478212472051382
88,0.008549709804356098
89,0.034697264432907104
90,0.02251892164349556
91,0.016025224700570107
92,0.0037114054430276155
93,0.007579364813864231
94,0.004724452272057533
95,0.010102396830916405
96,0.00306363170966506
97,0.004470384679734707
98,0.002864358015358448
99,0.004334671888500452
100,0.16437363624572754
101,0.2207794189453125
102,0.17410016059875488
103,0.12008938938379288
104,0.1225104033946991
105,0.11031423509120941
106,0.09350599348545074
107,0.11955051869153976
108,0.1118507981300354
109,0.13939020037651062
110,0.11963610351085663
111,0.055315904319286346
112,0.11336545646190643
113,0.09836052358150482
114,0.08120953291654587
115,0.11695607006549835
116,0.11469905078411102
117,0.11296918988227844
118,0.11764352023601532
119,0.0849316194653511
120,0.11304017901420593
121,0.1159345954656601
122,0.10966534912586212
123,0.12912459671497345
124,0.11754761636257172
125,0.10210087150335312
126,0.11329074203968048
127,0.10998407006263733
128,0.10032804310321808
129,0.08152211457490921
130,0.09003157913684845
131,0.09573733806610107
132,0.11651842296123505
133,0.0909942090511322
134,0.10580943524837494
135,0.10791502892971039
136,0.0908270925283432
137,0.11362574249505997
138,0.11911644041538239
139,0.11699263751506805
140,0.12144120037555695
141,0.10065315663814545
142,0.11062326282262802
143,0.1074027419090271
144,0.09875066578388214
145,0.11089394241571426
146,0.14192311465740204
147,0.11244925111532211
148,0.11066336184740067
149,0.11685581505298615
150,0.09651801735162735
151,0.08919696509838104
152,0.07776979357004166
153,0.08864535391330719
154,0.09350726008415222
155,0.09609140455722809
156,0.11353740096092224
157,0.11174119263887405
158,0.10666768252849579
159,0.1114078238606453
160,0.08974150568246841
161,0.1098233237862587
162,0.11534447968006134
163,0.11659947782754898
164,0.11072787642478943
165,0.11077655106782913
166,0.10803787410259247
167,0.103843092918396
168,0.08388014137744904
169,0.09168796241283417
170,0.11303591728210449
171,0.09920178353786469
172,0.12784647941589355
173,0.1072317436337471
174,0.09306171536445618
175,0.09106118977069855
176,0.11964145302772522
177,0.08820933103561401
178,0.11787642538547516
179,0.11200789362192154
180,0.0995270162820816
181,0.1060170978307724
182,0.12044598907232285
183,0.11045819520950317
184,0.11922282725572586
185,0.10750411450862885
186,0.1319197118282318
187,0.10159821808338165
188,0.1211690604686737
189,0.109730064868927
190,0.11660706996917725
191,0.11550465226173401
192,0.11344660073518753
193,0.11046725511550903
194,0.11350847780704498
195,0.11016655713319778
196,0.10509301722049713
197,0.09701253473758698
198,0.09927049279212952
199,0.09172388911247253
200,0.042910151183605194
201,0.025434035807847977
202,0.02235887199640274
203,0.02216573990881443
204,0.01570296473801136
205,0.0074637094512581825
206,0.011474281549453735
207,0.01738801971077919
208,0.009678147733211517
209,0.025545217096805573
210,0.035533055663108826
211,0.02785143256187439
212,0.014898121356964111
213,0.021136626601219177
214,0.011169282719492912
215,0.0118939820677042
216,0.05319390818476677
217,0.02062111906707287
218,0.06530822813510895
219,0.024715915322303772
220,0.011754631996154785
221,0.07286745309829712
222,0.020421482622623444
223,0.015173662453889847
224,0.01821759343147278
225,0.008263183757662773
226,0.024327930063009262
227,0.019522208720445633
228,0.03986852243542671
229,0.010154678486287594
230,0.03875688463449478
231,0.03885103389620781
232,0.02054702863097191
233,0.0816483423113823
234,0.019503284245729446
235,0.03515741229057312
236,0.0375697948038578
237,0.03893287479877472
238,0.042345523834228516
239,0.027308302000164986
240,0.018232600763440132
241,0.011809378862380981
242,0.02711155265569687
243,0.013083548285067081
244,0.02884124219417572
245,0.012492172420024872
246,0.06518522650003433
247,0.006117584649473429
248,0.016956165432929993
249,0.014066523872315884
250,0.046440500766038895
251,0.02516004629433155
252,0.07001297175884247
253,0.01782285049557686
254,0.025029733777046204
255,0.014333457686007023
256,0.030364807695150375
257,0.008993602357804775
258,0.00759379006922245
259,0.013552219606935978
260,0.023178519681096077
261,0.009047441184520721
262,0.00938382651656866
263,0.09726740419864655
264,0.047339294105768204
265,0.1013043075799942
266,0.013291885145008564
267,0.06383457779884338
268,0.011290919966995716
269,0.033833302557468414
270,0.04844089224934578
271,0.055711451917886734
272,0.05432205647230148
273,0.07445766776800156
274,0.020368829369544983
275,0.060661252588033676
276,0.009396211244165897
277,0.05817674845457077
278,0.022278839722275734
279,0.011556212790310383
280,0.013608069159090519
281,0.04295838624238968
282,0.05265393853187561
283,0.036483895033597946
284,0.009352517314255238
285,0.05583749711513519
286,0.024316634982824326
287,0.050714943557977676
288,0.03204033523797989
289,0.018568921834230423
290,0.03950332850217819
291,0.0472748689353466
292,0.015264073386788368
293,0.007482590619474649
294,0.017278242856264114
295,0.07470200955867767
296,0.029047731310129166
297,0.008537322282791138
298,0.04454389959573746
299,0.009105876088142395
300,0.016066724434494972
